SetId,LogDim
0,1.09861
1,1.09861
2,1.09861
3,1.09861
4,1.09861
5,1.09861
6,1.09861
7,1.09861
8,1.09861
9,1.09861
10,1.09861
11,1.09861
12,1.09861
13,1.09861
14,1.09861
15,1.09861
16,1.09861
17,1.09861
18,1.09861
19,1.09861
20,1.09861
21,1.09861
22,1.09861
23,1.09861
24,1.09861
25,1.09861
26,1.09861
27,1.09861
28,1.09861
29,1.09861
30,1.09861
31,1.09861
32,1.09861
33,1.09861
34,1.09861
35,1.09861
36,1.09861
37,1.09861
38,1.09861
39,1.09861
40,1.09861
41,1.09861
42,1.09861
43,1.09861
44,1.09861
45,1.09861
46,1.09861
47,1.09861
48,1.09861
49,1.09861
50,1.09861
51,1.09861
52,1.09861
53,1.09861
54,1.09861
55,1.09861
56,1.09861
57,1.09861
58,1.09861
59,1.09861
60,1.09861
61,1.09861
62,1.09861
63,1.09861
64,1.09861
65,1.09861
66,1.09861
67,1.09861
68,1.09861
69,1.09861
70,1.09861
71,1.09861
72,1.09861
73,1.09861
74,1.09861
75,1.09861
76,1.09861
77,1.09861
78,1.09861
79,1.09861
80,1.09861
81,1.09861
82,1.09861
83,1.09861
84,1.09861
85,1.09861
86,1.09861
87,1.09861
88,1.09861
89,1.09861
90,1.09861
91,1.09861
92,1.09861
93,1.09861
94,1.09861
95,1.09861
96,1.09861
97,1.09861
98,1.09861
99,1.09861
100,1.09861
101,1.09861
102,1.09861
103,1.09861
104,1.09861
105,1.09861
106,1.09861
107,1.09861
108,1.09861
109,1.09861
110,1.09861
111,1.09861
112,1.09861
113,1.09861
114,1.09861
115,1.09861
116,1.09861
117,1.09861
118,1.09861
119,1.09861
120,1.09861
121,1.09861
122,1.09861
123,1.09861
124,1.09861
125,1.09861
126,1.09861
127,1.09861
128,1.09861
129,1.09861
130,1.09861
131,1.09861
132,1.09861
133,1.09861
134,1.09861
135,1.09861
136,1.09861
137,1.09861
138,1.09861
139,1.09861
140,1.09861
141,1.09861
142,1.09861
143,1.09861
144,1.09861
145,1.09861
146,1.09861
147,1.09861
148,1.09861
149,1.09861
150,1.09861
151,1.09861
152,1.09861
153,1.09861
154,1.09861
155,1.09861
156,1.09861
157,1.09861
158,1.09861
159,1.09861
160,1.09861
161,1.09861
162,1.09861
163,1.09861
164,1.09861
165,1.09861
166,1.09861
167,1.09861
168,1.09861
169,1.09861
170,1.09861
171,1.09861
172,1.09861
173,1.09861
174,1.09861
175,1.09861
176,1.09861
177,1.09861
178,1.09861
179,1.09861
180,1.09861
181,1.09861
182,1.09861
183,1.09861
184,1.09861
185,1.09861
186,1.09861
187,1.09861
188,1.09861
189,1.09861
190,1.09861
191,1.09861
192,1.09861
193,1.09861
194,1.09861
195,1.09861
196,1.09861
197,1.09861
198,1.09861
199,1.09861
